id,ids of components,two_components,relation type
3572,"[3154, 2991]","['There have been strikes against residential areas and\ninfrastructure, with total disregard for international\nhumanitarian law and basic moral decency.', 'Lithuania\nrejects all calls to renegotiate the terms ofthe ceasefire.']",no relation
3573,"[216, 453]","['Those units have used force to storm and besiege local Government buildings and institutions.', 'There is no justification or legal basis whatsoever for invoking Article 51.']",no relation
3574,"[685, 927]","['The crisis remains very dangerously poised.', 'We call firmly on the West to end its destructive policy concerning Ukraine, and on the self-proclaimed authorities in Kyiv to swiftly halt all punitive operations and other measures against the people, free political prisoners and guarantee full freedom for journalists.']",no relation
3575,"[1057, 1353]","['Even today, as a it tries to lawfully restore order, Ukrainian security forces are operating in a cautious and restrained manner.', 'it would be helpful and a little more constructive.']",no relation
3576,"[2699, 2790]","['Marton Gyongyosy once suggested\nthat Hungarian Jews should be tallied up because they\npose a threat to the State.', 'It is high time for Kyiv to fulfil the obligations it\nundertook in Geneva']",no relation
3577,"[2101, 2387]","[""the parallel governance structures being\ncreated in Donetsk and Luhansk do not comply with\ninternational norms and standards or, of course, with\nUkraine's Constitution."", 'I therefore agree with my Russian colleague that\nsuch kinds of questions need to be looked at.']",no relation
3578,"[2445, 2670]","['Five were seen towing l20-millimetre howitzers\nand five others were towing multiple-launch rocket\nsystems.', 'The efforts of the international community\nmust be harnessed in support of the host Government,\nwhich bears the primary responsibility for assistance\nand protection.']",no relation
3579,"[3035, 2815]","['Ukraine and the international\ncommunity have launched several serious efforts to seek\na peaceful resolution to the conflict, including through\nthe trilateral contact Group on Ukraine, the Minsk\nagreement, the Normandy group and other negotiating\nforums.', 'We are committed to making a full\ninternational return to the MH-l7 crash site when it\nis safe to do so and in the company of our Dutch and\nMalaysian partners.']",no relation
3580,"[2500, 2455]","['we all agree that the situation in Ukraine\nhas become a threat to international peace and security', 'Instead, the world saw\nthe elections for what they are: a shameless attempt to\nvalidate territory seized at the barrel of the gun - a\ngun provided by Russia.']",no relation
3581,"[3426, 3176]","['Some 550\nsquare kilometres of land have been captured by the\nillegal militants since the beginning of the ceasefire.', 'Some\nmembers of the Security Council, unfortunately, did not\nheed our call.']",no relation
3582,"[3453, 3731]","['How can a bunch of illegal militants without\nexternal trade ties, income or budget amass hundreds\nof armored combat vehicles, artillery systems and\nrocket launchers - all those Tochka-U tactical missile\nlaunch systems, Grad rockets, Uragan and Buratino\nrocket launchers?', 'the conflict in the\ncountry has intensified, and civilians continue to suffer\nthe consequences']",no relation
3583,"[1295, 1478]","['having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.', 'We must stop at nothing to bring those responsible to justice.']",no relation
3584,"[2904, 2739]","['They undermine any trust placed\nin signatories who fail to keep their word.', 'there have been clashes\nbetween the parties along the front lines.']",no relation
3585,"[2492, 2507]","['We note that it is facing\nserious challenges, including problems with the safety\nof its personnel and a lack of necessary equipment.', 'there could\nbe spillover effects beyond Ukraine and into the entire\nregion.']",no relation
3586,"[457, 406]","[""As a result of Russia's activities, there has been a further marked deterioration in the security situation in eastern and southern Ukraine, as Mr."", 'let us stop that decree from being implemented.']",no relation
3587,"[468, 169]","['The Ukrainian Government has the right and responsibility to uphold the rule of law and protect both its citizens and its officials on Ukrainian territory.', 'Let us not forget that such protests were a prelude to the annexation of Crimea.']",no relation
3588,"[2896, 2913]","['By opting to\nrecognize the illegal and illegitimate so-called elections\nin certain areas of Donbas', 'First, I have said, and I repeat, that of course the\nceasefire and the normalization of the situation are\nthe key tasks, but they require trust.']",no relation
3589,"[2167, 2200]","['with the advent of winter and\nthe stalemate in the negotiations between the Russian\nFederation and Ukraine on the provision of natural\ngas, we fear that millions of people will be subjected\nto an untenable situation.', 'There has been no dialogue or promised\nconstitutional reform.']",no relation
3590,"[3456, 3309]","[""How can hundreds of Russian\nsoldiers be dying on Ukraine's soil if they are not even\nthere?"", 'the\nshelling was carried out from the north-north-eastern\nareas currently occupied by illegal armed groups.']",no relation
3591,"[4206, 4356]","['For nearly three years, they have\nsurvived Without gas supplies in the face of plummeting\ntemperatures every winter.', ""We\nencourage Minister Kurz's support for the efforts of the\nSpecial Monitoring Mission in Ukraine to facilitate the\nresolution of the conflict in Donbas, which was started\nby Russia.""]",no relation
3592,"[3161, 2873]","['A Russian television station on the ground said that\ntoday in Donetsk eight civilians had been killed and 30\nwounded, including children', 'Contrary to these hostile actions and Russian\npropaganda myths, Ukrainian forces are observing\nthe ceasefire regime.']",no relation
3593,"[747, 557]","['they have been accused of terrorism and punished by military operations.', 'Since then, the Government of Ukraine has been implementing its commitments in good faith.']",no relation
3594,"[2294, 2387]","['Occupation authorities\nhave also encouraged criminal acts against Crimean\nTatars and others belonging to national minorities and\nreligious groups.', 'I therefore agree with my Russian colleague that\nsuch kinds of questions need to be looked at.']",no relation
3595,"[4129, 4259]","['we convinced representatives\nof Donetsk and Luhansk to postpone the local elections\nthat were supposed to take place at the end of last year', 'any 5+2 meeting must deliver concrete\nresults']",no relation
3596,"[4450, 4249]","[""We recognize in particular\nthe essential role of the OSCE Special Monitoring\nMission to Ukraine, which remains the international\ncommunity's best source of impartial information\non the significant toll that the conflict in eastern\nUkraine has taken on the country's people, land and\ninfrastructure."", ""we encourage the\nOrganization to remain actively engaged as the conflict\nwith Russia in Georgia's occupied territories continues\nto undermind European security.""]",no relation
